gora_id,ime,cas,zahtevnost
98,Vrbiški dol - Srednji vrh pri Kozleku,40,lahka označena pot
99,Predmeja - Dolski maj (Pot po Robu),60,lahka označena pot
99,Otlica - Dolski maj,60,lahka označena pot
100,Zagrad - Velika Plešivica (čez Malo Plešivico),135,"lahka neoznačena steza, lahka označena pot"
100,Velika vrata - Velika Plešivica,25,lahka označena pot
100,Skadanščina - Velika Plešivica,135,lahka označena pot
101,Kočevska dolina - Lovska koča Urška,45,lahka označena pot
102,Nova Štifta - Dom na Travni Gori,45,lahka označena pot
102,Uglov laz - Dom na Travni Gori,70,lahka označena pot
103,Gradišče pri Vipavi - Furlanovo zavetišče pri Abramu (lažja varianta),150,zahtevna označena pot
103,Gradišče pri Vipavi - Furlanovo zavetišče pri Abramu (čez Konja),195,lahka označena pot
103,Gradišče pri Vipavi - Furlanovo zavetišče pri Abramu (Furlanova pot),150,zelo zahtevna označena pot
103,Lozice - Furlanovo zavetišče pri Abramu,150,lahka označena pot
103,Podkraj - Furlanovo zavetišče pri Abramu,150,lahka označena pot
103,Podnanos - Furlanovo zavetišče pri Abramu,180,lahka označena pot
103,Hrašče - Furlanovo zavetišče pri Abramu (mimo korit),165,lahka označena pot
103,Hrašče - Furlanovo zavetišče pri Abramu (čez Brižnik),165,lahka označena pot
104,Lovska koča Budanje - Kraguljc,85,lahka označena pot
104,Col - Kraguljc,95,lahka označena pot
104,Jamce - Kraguljc,90,lahka neoznačena steza
105,Osilnica - Bezgarska planina,130,lahka označena pot
105,18. serpentina ceste na Strmo Reber - Bezgarska planina,45,lahka označena pot
105,Bezgovica - Bezgarska planina,60,lahka označena pot
105,Strma Reber - Bezgarska planina,10,lahka označena pot
106,Ledinsko Razpotje - Marutnik (vzhodna pot),50,"lahka označena pot, lahka neoznačena steza"
106,Ledinsko Razpotje - Marutnik (zahodna pot),55,"lahka označena pot, lahka neoznačena steza"
107,Zazid - Golič (čez Kojnik),150,lahka označena pot
107,Zazid - Golič (mimo Lipnika),150,lahka označena pot
107,Podgorje - Golič (mimo lovskega zavetišča),160,lahka označena pot
107,Zazid - Golič (direktna pot),105,lahka neoznačena steza
108,Krvava Peč - Gozdarska koča Pri logarnici,90,lahka označena pot
109,Zazid - Nadglavinjak (mimo Lipnika),130,lahka označena pot
110,Vitovlje (Križišče) - Sekulak,90,lahka označena pot
110,Vitovlje - Sekulak (mimo Vitovskega jezera),100,lahka označena pot
110,Ozeljan - Sekulak,170,lahka neoznačena steza
111,Smrečje - Vrh Svetih Treh Kraljev (po cesti),45,lahka označena pot
111,Rovte - Vrh Svetih Treh Kraljev (strma pot),85,lahka označena pot
111,Rovte - Vrh Svetih Treh Kraljev (položna pot),90,lahka označena pot
111,Račevsko jezero - Vrh Svetih Treh Kraljev,45,lahka označena pot
111,Smrečje - Vrh Svetih Treh Kraljev (pešpot),40,lahka označena pot
111,Žiri - Vrh Svetih Treh Kraljev,150,lahka označena pot
111,Smrečje - Vrh Svetih Treh Kraljev (mimo Jereba),45,lahka označena pot
111,Sopot - Vrh Svetih Treh Kraljev,85,lahka označena pot
111,Dom na Goropekah - Vrh Svetih Treh Kraljev,100,lahka označena pot
112,Zazid - Kavčič (mimo Lipnika),150,lahka označena pot
112,Rakitovec - Kavčič (po kolovozu),45,lahka neoznačena steza
113,Planina - Lovska koča na Planinski gori,50,lahka neoznačena steza
113,Lohača - Lovska koča na Planinski gori (po cesti),65,lahka neoznačena steza
